flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,linkedEvents,link,P10OnsetMax,Farside,FarsideManuallyAddedByUs
,,2010-08-01T08:26Z,2010-08-03T16:45Z,2010-08-04T04:50Z,SUB,N20E36,11092,,,2.74,FALSE,FALSE
2010-08-14T10:05:00-FLR-001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2010-08-14T10:05Z,2010-08-14T12:45Z,2010-08-14T14:10Z,SPE,N17W52,11099,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,14,FALSE,FALSE
,,2010-08-18T05:48Z,2010-08-18T13:10Z,2010-08-19T03:40Z,SUB,N17W100,11099,,,4.1,TRUE,FALSE
,,2011-01-28T01:03Z,2011-01-28T16:25Z,2011-01-28T20:20Z,SUB,N16W90,11149,,,2.8,FALSE,FALSE
,,2011-02-15T01:56Z,2011-02-15T11:15Z,2011-02-16T01:25Z,SUB,S18W15,11158,,,2.58,FALSE,FALSE
2011-03-07T20:12:00-FLR-001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2011-03-07T20:12Z,2011-03-08T08:00Z,2011-03-10T12:10Z,SPE,N31W53,11164,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,50,FALSE,FALSE
,,2011-03-21T02:34Z,2011-03-22T01:35Z,2011-03-22T03:35Z,SPE,N16W130,11169,,,14,TRUE,TRUE
,,2011-06-05T22:15Z,2011-06-06T04:05Z,2011-06-07T07:15Z,SUB,N16W148,11222,,,4.87,TRUE,FALSE
,,2011-06-07T06:41Z,2011-06-07T18:20Z,2011-06-08T17:10Z,ESPE,S21W54,11226,,,72,FALSE,FALSE
,,2011-08-02T06:19Z,2011-08-02T11:10Z,2011-08-03T12:00Z,SUB,N14W15,11261,,,2.9,FALSE,FALSE
2011-08-04T03:57:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2011-08-04T03:57Z,2011-08-05T21:50Z,2011-08-06T05:15Z,ESPE,N19W36,11261,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,80,FALSE,FALSE
,,2011-08-08T18:10Z,2011-08-08T20:00Z,2011-08-09T03:55Z,SUB,N16W61,11263,,,4.03,FALSE,FALSE
